id_client,code_client,sexe,tranche_age,profession,secteur_activite,type_client,statut_client,date_adhesion
25,CUST-0000025,F,36-45 ans,Agriculteur,Services,Physique,Actif,2021-05-22
26,CUST-0000026,M,60 ans et plus,Enseignant,Administration,Physique,Actif,2022-04-09
27,CUST-0000027,F,60 ans et plus,Vendeur,BTP,Physique,Actif,2025-08-14
28,CUST-0000028,F,46-60 ans,Vendeur,Commerce,Physique,Actif,2024-04-01
29,CUST-0000029,F,18-25 ans,Coiffeur,Élevage,Physique,Actif,2019-09-12
30,CUST-0000030,F,60 ans et plus,Étudiant,Éducation,Physique,Actif,2017-08-25
31,CUST-0000031,F,46-60 ans,Vendeur,Élevage,Physique,Actif,2025-08-26
32,CUST-0000032,F,60 ans et plus,Éleveur,Commerce,Physique,Actif,2023-01-30
33,CUST-0000033,F,46-60 ans,Éleveur,Informel,Physique,Actif,2019-09-23
34,CUST-0000034,F,18-25 ans,Commerçant,Restauration,Moral,Actif,2020-09-12
35,CUST-0000035,M,60 ans et plus,Médecin,Restauration,Association,Actif,2017-06-24
36,CUST-0000036,F,36-45 ans,Étudiant,Élevage,Association,Actif,2020-12-20
37,CUST-0000037,F,26-35 ans,Entrepreneur,Élevage,Physique,Actif,2025-04-02
38,CUST-0000038,M,26-35 ans,Vendeur,BTP,Physique,En veille,2020-01-28
39,CUST-0000039,M,26-35 ans,Éleveur,Commerce,Physique,Actif,2024-12-31
40,CUST-0000040,M,60 ans et plus,Entrepreneur,Administration,Physique,Actif,2024-05-05
41,CUST-0000041,F,36-45 ans,Restauratrice,Élevage,Physique,Actif,2026-05-05
42,CUST-0000042,M,18-25 ans,Agriculteur,Informel,Moral,En veille,2023-11-21
43,CUST-0000043,F,46-60 ans,Infirmier,Santé,Physique,Actif,2019-04-03
44,CUST-0000044,M,46-60 ans,Agent public,Technologie,Physique,Actif,2026-02-26
45,CUST-0000045,F,26-35 ans,Entrepreneur,BTP,Physique,Actif,2025-05-04
46,CUST-0000046,F,26-35 ans,Commerçant,Élevage,Physique,Actif,2019-10-26
47,CUST-0000047,M,46-60 ans,Artisan,Administration,Physique,Actif,2017-03-26
48,CUST-0000048,M,46-60 ans,Médecin,Informel,Physique,Actif,2017-06-07
49,CUST-0000049,F,60 ans et plus,Mécanicien,Technologie,Physique,Actif,2025-02-17
50,CUST-0000050,F,36-45 ans,Agriculteur,Technologie,Physique,Actif,2021-04-01
51,CUST-0000051,F,26-35 ans,Infirmier,Agriculture,Physique,En veille,2021-03-29
52,CUST-0000052,F,18-25 ans,Mécanicien,Élevage,Physique,Actif,2025-09-13
53,CUST-0000053,F,60 ans et plus,Restauratrice,Éducation,Physique,Actif,2022-07-25
54,CUST-0000054,M,18-25 ans,Entrepreneur,BTP,Moral,Actif,2019-07-30
55,CUST-0000055,F,60 ans et plus,Fonctionnaire,Services,Physique,Actif,2023-06-16
56,CUST-0000056,M,46-60 ans,Vendeur,Artisanat,Physique,Actif,2025-02-09
57,CUST-0000057,F,60 ans et plus,Éleveur,Restauration,Moral,Actif,2017-02-18
58,CUST-0000058,M,46-60 ans,Entrepreneur,Transport,Physique,Actif,2025-03-24
59,CUST-0000059,F,60 ans et plus,Infirmier,Élevage,Physique,Actif,2021-01-26
60,CUST-0000060,F,46-60 ans,Agriculteur,Éducation,Physique,Actif,2017-08-21
61,CUST-0000061,M,46-60 ans,Informaticien,Artisanat,Physique,Actif,2025-07-23
62,CUST-0000062,F,60 ans et plus,Restauratrice,Informel,Association,Actif,2025-07-27
63,CUST-0000063,F,46-60 ans,Coiffeur,Restauration,Physique,Actif,2023-05-27
64,CUST-0000064,F,26-35 ans,Agriculteur,Éducation,Physique,Actif,2017-09-04
65,CUST-0000065,M,36-45 ans,Infirmier,Restauration,Physique,Actif,2019-08-27
66,CUST-0000066,F,46-60 ans,Pêcheur,Agriculture,Physique,Actif,2026-02-22
67,CUST-0000067,F,60 ans et plus,Informaticien,Administration,Physique,Actif,2021-08-18
68,CUST-0000068,M,46-60 ans,Informaticien,Commerce,Physique,Actif,2019-02-02
69,CUST-0000069,M,26-35 ans,Vendeur,Distribution,Physique,Suspendu,2017-05-14
70,CUST-0000070,M,60 ans et plus,Agent public,Éducation,Moral,Actif,2020-02-06
71,CUST-0000071,M,60 ans et plus,Entrepreneur,Pêche,Physique,Actif,2024-11-08
72,CUST-0000072,F,36-45 ans,Chauffeur,Élevage,Physique,Actif,2026-05-16
73,CUST-0000073,F,46-60 ans,Commerçant,Restauration,Physique,Actif,2022-09-04
74,CUST-0000074,M,36-45 ans,Fonctionnaire,Élevage,Physique,Actif,2022-04-04
75,CUST-0000075,F,36-45 ans,Commerçant,Distribution,Physique,Actif,2026-06-23
76,CUST-0000076,F,26-35 ans,Ménagère,BTP,Physique,Actif,2024-11-02
77,CUST-0000077,F,60 ans et plus,Restauratrice,Artisanat,Physique,En veille,2018-12-13
78,CUST-0000078,M,60 ans et plus,Pêcheur,Agriculture,Association,Actif,2022-01-24
79,CUST-0000079,F,26-35 ans,Pêcheur,Agriculture,Association,Actif,2022-04-30
80,CUST-0000080,M,36-45 ans,Agent public,Services,Physique,Actif,2019-03-07
81,CUST-0000081,M,60 ans et plus,Chauffeur,Technologie,Physique,Actif,2020-02-18
82,CUST-0000082,M,18-25 ans,Médecin,BTP,Physique,Actif,2024-10-27
83,CUST-0000083,M,60 ans et plus,Tailleur,Restauration,Physique,Actif,2021-07-14
84,CUST-0000084,F,18-25 ans,Enseignant,Pêche,Physique,Actif,2020-11-25
85,CUST-0000085,F,36-45 ans,Chauffeur,Pêche,Physique,Actif,2019-10-06
86,CUST-0000086,M,46-60 ans,Entrepreneur,BTP,Physique,Actif,2018-12-23
87,CUST-0000087,F,26-35 ans,Fonctionnaire,Pêche,Physique,Actif,2025-07-29
88,CUST-0000088,M,26-35 ans,Restauratrice,Commerce,Physique,Actif,2018-10-21
89,CUST-0000089,F,26-35 ans,Vendeur,Élevage,Physique,Actif,2017-04-26
90,CUST-0000090,F,36-45 ans,Vendeur,Technologie,Physique,Actif,2017-08-01
91,CUST-0000091,F,46-60 ans,Coiffeur,Informel,Physique,Actif,2024-02-21
92,CUST-0000092,F,46-60 ans,Entrepreneur,Artisanat,Physique,Actif,2024-10-02
93,CUST-0000093,F,46-60 ans,Éleveur,Transport,Physique,Actif,2022-07-04
94,CUST-0000094,M,46-60 ans,Agriculteur,Distribution,Physique,Actif,2017-05-29
95,CUST-0000095,F,46-60 ans,Médecin,Restauration,Physique,Actif,2021-02-20
96,CUST-0000096,F,26-35 ans,Coiffeur,Restauration,Physique,Actif,2017-12-15
97,CUST-0000097,M,36-45 ans,Informaticien,Services,Physique,Actif,2021-01-23
98,CUST-0000098,M,18-25 ans,Vendeur,Administration,Physique,Actif,2019-11-12
99,CUST-0000099,M,26-35 ans,Artisan,Pêche,Physique,Actif,2021-04-12
100,CUST-0000100,M,60 ans et plus,Chauffeur,Transport,Physique,Actif,2025-03-14
101,CUST-0000101,F,46-60 ans,Éleveur,Agriculture,Physique,Actif,2019-02-04
102,CUST-0000102,M,46-60 ans,Artisan,Informel,Physique,Actif,2019-11-09
103,CUST-0000103,F,18-25 ans,Tailleur,Santé,Physique,Actif,2020-02-07
104,CUST-0000104,M,36-45 ans,Artisan,Agriculture,Physique,En veille,2018-05-27
105,CUST-0000105,M,46-60 ans,Tailleur,Élevage,Physique,Actif,2021-01-03
106,CUST-0000106,M,60 ans et plus,Médecin,Artisanat,Association,Actif,2017-03-02
107,CUST-0000107,F,36-45 ans,Chauffeur,Commerce,Physique,Actif,2025-06-04
108,CUST-0000108,M,46-60 ans,Artisan,Commerce,Moral,Actif,2017-01-04
109,CUST-0000109,M,46-60 ans,Tailleur,Distribution,Physique,Actif,2021-02-26
110,CUST-0000110,M,60 ans et plus,Chauffeur,Pêche,Physique,Actif,2026-03-13
111,CUST-0000111,F,26-35 ans,Informaticien,Éducation,Physique,Suspendu,2025-06-22
112,CUST-0000112,F,60 ans et plus,Vendeur,Transport,Physique,Actif,2018-04-04
113,CUST-0000113,M,46-60 ans,Éleveur,BTP,Moral,Actif,2019-06-14
114,CUST-0000114,F,36-45 ans,Entrepreneur,Distribution,Physique,Actif,2021-01-02
115,CUST-0000115,F,18-25 ans,Commerçant,Agriculture,Association,Actif,2023-03-01
116,CUST-0000116,F,26-35 ans,Tailleur,Transport,Physique,Actif,2026-05-22
117,CUST-0000117,M,36-45 ans,Agriculteur,Technologie,Physique,Actif,2026-06-26
118,CUST-0000118,M,26-35 ans,Tailleur,Informel,Physique,En veille,2026-05-06
119,CUST-0000119,F,60 ans et plus,Restauratrice,Restauration,Physique,Actif,2020-08-20
120,CUST-0000120,F,60 ans et plus,Pêcheur,Services,Physique,Actif,2020-07-21
121,CUST-0000121,M,46-60 ans,Médecin,Pêche,Physique,Actif,2020-06-28
122,CUST-0000122,M,36-45 ans,Fonctionnaire,Artisanat,Physique,Actif,2026-06-13
123,CUST-0000123,F,46-60 ans,Agriculteur,Agriculture,Physique,Actif,2025-07-12
124,CUST-0000124,F,18-25 ans,Enseignant,BTP,Physique,Suspendu,2022-12-01
125,CUST-0000125,F,26-35 ans,Informaticien,Services,Physique,Actif,2018-11-17
126,CUST-0000126,M,46-60 ans,Mécanicien,Informel,Physique,Suspendu,2017-11-13
127,CUST-0000127,F,60 ans et plus,Éleveur,Services,Physique,Actif,2023-01-26
128,CUST-0000128,M,46-60 ans,Étudiant,Services,Physique,Actif,2017-07-16
129,CUST-0000129,F,36-45 ans,Mécanicien,Informel,Physique,Actif,2019-09-08
130,CUST-0000130,M,46-60 ans,Chauffeur,Agriculture,Physique,Actif,2017-04-25
131,CUST-0000131,F,60 ans et plus,Coiffeur,Artisanat,Physique,Actif,2024-01-26
132,CUST-0000132,F,46-60 ans,Agent public,Restauration,Physique,Actif,2021-07-21
133,CUST-0000133,F,36-45 ans,Chauffeur,Technologie,Physique,Actif,2019-12-20
134,CUST-0000134,F,26-35 ans,Restauratrice,Pêche,Physique,Suspendu,2018-07-21
135,CUST-0000135,M,18-25 ans,Médecin,BTP,Physique,Actif,2020-07-17
136,CUST-0000136,M,26-35 ans,Fonctionnaire,Santé,Physique,Actif,2022-01-29
137,CUST-0000137,M,46-60 ans,Infirmier,Agriculture,Physique,Actif,2021-10-19
138,CUST-0000138,M,46-60 ans,Fonctionnaire,BTP,Physique,Actif,2020-10-06
139,CUST-0000139,F,60 ans et plus,Artisan,BTP,Physique,En veille,2018-11-17
140,CUST-0000140,F,60 ans et plus,Agriculteur,Artisanat,Physique,Actif,2026-05-13
141,CUST-0000141,F,46-60 ans,Commerçant,BTP,Physique,Actif,2025-09-23
142,CUST-0000142,M,46-60 ans,Informaticien,Agriculture,Physique,Actif,2022-09-22
143,CUST-0000143,F,46-60 ans,Fonctionnaire,Commerce,Physique,Actif,2020-07-31
144,CUST-0000144,M,46-60 ans,Agriculteur,Informel,Physique,Actif,2023-01-03
145,CUST-0000145,F,26-35 ans,Informaticien,Commerce,Moral,Actif,2026-02-24
146,CUST-0000146,F,18-25 ans,Coiffeur,Éducation,Physique,Actif,2022-06-18
147,CUST-0000147,M,26-35 ans,Éleveur,Pêche,Physique,Actif,2020-08-23
148,CUST-0000148,M,60 ans et plus,Coiffeur,Restauration,Physique,Actif,2024-01-27
149,CUST-0000149,F,36-45 ans,Entrepreneur,Administration,Physique,Actif,2026-01-23
150,CUST-0000150,M,46-60 ans,Restauratrice,Distribution,Physique,Actif,2022-02-18
151,CUST-0000151,F,46-60 ans,Entrepreneur,Informel,Physique,Actif,2020-04-03
152,CUST-0000152,F,36-45 ans,Pêcheur,Distribution,Physique,Actif,2025-02-24
153,CUST-0000153,M,60 ans et plus,Pêcheur,Services,Moral,Actif,2022-03-23
154,CUST-0000154,F,46-60 ans,Entrepreneur,BTP,Physique,Actif,2018-05-26
155,CUST-0000155,M,26-35 ans,Infirmier,Commerce,Moral,Actif,2021-08-04
156,CUST-0000156,F,18-25 ans,Médecin,Élevage,Physique,Actif,2020-06-15
157,CUST-0000157,M,46-60 ans,Éleveur,Pêche,Physique,Actif,2026-05-04
158,CUST-0000158,F,46-60 ans,Coiffeur,Technologie,Physique,Actif,2020-12-03
159,CUST-0000159,M,18-25 ans,Ménagère,Informel,Physique,Actif,2025-11-24
160,CUST-0000160,M,26-35 ans,Ménagère,Transport,Moral,Actif,2023-07-15
161,CUST-0000161,M,26-35 ans,Médecin,Éducation,Physique,Actif,2022-01-12
162,CUST-0000162,F,18-25 ans,Informaticien,Artisanat,Physique,Actif,2020-11-13
163,CUST-0000163,M,26-35 ans,Chauffeur,Agriculture,Moral,Actif,2026-04-27
164,CUST-0000164,M,46-60 ans,Entrepreneur,Pêche,Physique,Actif,2019-03-26
165,CUST-0000165,F,36-45 ans,Éleveur,Commerce,Physique,Actif,2022-02-24
166,CUST-0000166,M,46-60 ans,Commerçant,Élevage,Physique,Actif,2020-10-26
167,CUST-0000167,M,36-45 ans,Agent public,Commerce,Moral,Actif,2024-04-19
168,CUST-0000168,M,46-60 ans,Restauratrice,Transport,Physique,Actif,2024-07-30
169,CUST-0000169,M,18-25 ans,Chauffeur,Élevage,Physique,Actif,2023-11-11
170,CUST-0000170,F,46-60 ans,Entrepreneur,Artisanat,Physique,Actif,2022-05-13
171,CUST-0000171,M,26-35 ans,Restauratrice,Restauration,Physique,Actif,2017-12-24
172,CUST-0000172,F,36-45 ans,Vendeur,Technologie,Physique,Actif,2017-09-13
173,CUST-0000173,F,60 ans et plus,Coiffeur,Agriculture,Physique,Actif,2019-12-31
174,CUST-0000174,M,60 ans et plus,Informaticien,Transport,Physique,Actif,2023-10-20
175,CUST-0000175,M,46-60 ans,Tailleur,Agriculture,Physique,Actif,2020-08-30
176,CUST-0000176,M,18-25 ans,Mécanicien,Distribution,Physique,Actif,2023-09-11
177,CUST-0000177,F,46-60 ans,Médecin,Restauration,Physique,Actif,2022-01-12
178,CUST-0000178,F,36-45 ans,Coiffeur,Éducation,Physique,Actif,2024-10-06
179,CUST-0000179,M,46-60 ans,Fonctionnaire,Santé,Physique,Actif,2024-09-21
180,CUST-0000180,M,46-60 ans,Infirmier,Restauration,Physique,Actif,2019-06-27
181,CUST-0000181,F,18-25 ans,Informaticien,Éducation,Physique,Suspendu,2019-03-19
182,CUST-0000182,F,36-45 ans,Agriculteur,Commerce,Physique,Actif,2018-05-15
183,CUST-0000183,F,36-45 ans,Médecin,Agriculture,Physique,Actif,2018-07-28
184,CUST-0000184,F,60 ans et plus,Pêcheur,Informel,Physique,Actif,2023-09-09
185,CUST-0000185,F,46-60 ans,Informaticien,Agriculture,Physique,Actif,2019-09-10
186,CUST-0000186,F,26-35 ans,Médecin,Éducation,Physique,En veille,2021-04-09
187,CUST-0000187,M,26-35 ans,Agent public,Distribution,Physique,Actif,2022-06-08
188,CUST-0000188,F,60 ans et plus,Agent public,Artisanat,Moral,Actif,2022-06-03
189,CUST-0000189,M,18-25 ans,Chauffeur,Distribution,Physique,Actif,2025-11-26
190,CUST-0000190,M,60 ans et plus,Chauffeur,Informel,Physique,Actif,2018-10-29
191,CUST-0000191,F,26-35 ans,Artisan,Informel,Physique,Actif,2021-08-27
192,CUST-0000192,F,36-45 ans,Pêcheur,Commerce,Physique,Actif,2022-09-01
193,CUST-0000193,F,60 ans et plus,Agriculteur,Restauration,Physique,Actif,2024-04-28
194,CUST-0000194,F,26-35 ans,Pêcheur,Transport,Physique,Actif,2025-03-19
195,CUST-0000195,M,18-25 ans,Agriculteur,Artisanat,Physique,En veille,2021-02-27
196,CUST-0000196,F,46-60 ans,Coiffeur,Agriculture,Association,Actif,2025-05-18
197,CUST-0000197,F,36-45 ans,Étudiant,Technologie,Physique,Actif,2023-11-09
198,CUST-0000198,M,36-45 ans,Fonctionnaire,Élevage,Physique,Actif,2019-04-20
199,CUST-0000199,M,26-35 ans,Agent public,Distribution,Physique,Actif,2025-04-04
200,CUST-0000200,M,60 ans et plus,Coiffeur,Agriculture,Physique,Actif,2021-12-20
201,CUST-0000201,M,26-35 ans,Tailleur,Artisanat,Physique,Suspendu,2023-01-16
202,CUST-0000202,M,46-60 ans,Informaticien,Santé,Moral,Actif,2020-03-05
203,CUST-0000203,F,46-60 ans,Restauratrice,Restauration,Physique,Actif,2023-09-18
204,CUST-0000204,F,60 ans et plus,Infirmier,Artisanat,Physique,Actif,2026-03-27
205,CUST-0000205,F,46-60 ans,Vendeur,Éducation,Physique,Actif,2017-09-04
206,CUST-0000206,M,36-45 ans,Agent public,Administration,Physique,Actif,2021-10-19
207,CUST-0000207,M,26-35 ans,Mécanicien,Technologie,Association,Actif,2024-09-01
208,CUST-0000208,M,26-35 ans,Coiffeur,Technologie,Physique,Actif,2017-05-24
209,CUST-0000209,M,36-45 ans,Agent public,Pêche,Moral,Actif,2024-05-04
210,CUST-0000210,F,36-45 ans,Infirmier,Agriculture,Physique,Actif,2022-09-13
211,CUST-0000211,M,36-45 ans,Mécanicien,Commerce,Physique,Actif,2017-01-30
212,CUST-0000212,F,26-35 ans,Éleveur,Distribution,Physique,Actif,2023-02-26
213,CUST-0000213,F,46-60 ans,Étudiant,Distribution,Physique,Actif,2025-07-03
214,CUST-0000214,M,26-35 ans,Artisan,Restauration,Physique,Actif,2019-08-11
215,CUST-0000215,F,46-60 ans,Fonctionnaire,Artisanat,Physique,En veille,2020-11-04
216,CUST-0000216,F,46-60 ans,Agriculteur,Éducation,Physique,Actif,2022-05-15
217,CUST-0000217,M,46-60 ans,Artisan,Distribution,Physique,Actif,2023-12-16
218,CUST-0000218,F,26-35 ans,Vendeur,Technologie,Physique,Actif,2024-11-25
219,CUST-0000219,F,36-45 ans,Agriculteur,Éducation,Physique,Actif,2018-01-11
220,CUST-0000220,M,46-60 ans,Agriculteur,Pêche,Physique,Actif,2022-09-18
221,CUST-0000221,M,60 ans et plus,Étudiant,Distribution,Physique,Actif,2017-01-28
222,CUST-0000222,M,60 ans et plus,Infirmier,Agriculture,Physique,Actif,2018-11-20
223,CUST-0000223,F,36-45 ans,Médecin,Administration,Physique,Actif,2017-04-06
224,CUST-0000224,F,46-60 ans,Agent public,Éducation,Physique,Actif,2020-02-12
225,CUST-0000225,M,26-35 ans,Chauffeur,Technologie,Physique,Actif,2021-12-18
226,CUST-0000226,F,36-45 ans,Pêcheur,Artisanat,Physique,Actif,2025-05-02
227,CUST-0000227,F,18-25 ans,Médecin,Distribution,Physique,Actif,2017-09-30
228,CUST-0000228,F,36-45 ans,Fonctionnaire,Éducation,Physique,Actif,2023-11-10
229,CUST-0000229,M,36-45 ans,Agent public,Commerce,Physique,Actif,2025-03-14
230,CUST-0000230,F,60 ans et plus,Coiffeur,Technologie,Physique,Actif,2017-08-11
231,CUST-0000231,F,36-45 ans,Artisan,BTP,Physique,Actif,2017-11-24
232,CUST-0000232,M,36-45 ans,Tailleur,Technologie,Physique,Actif,2025-03-12
233,CUST-0000233,M,46-60 ans,Coiffeur,BTP,Moral,Actif,2024-04-23
234,CUST-0000234,F,36-45 ans,Infirmier,Technologie,Physique,Actif,2020-09-11
235,CUST-0000235,F,26-35 ans,Entrepreneur,Administration,Physique,Actif,2018-05-12
236,CUST-0000236,F,60 ans et plus,Entrepreneur,Restauration,Physique,Actif,2020-09-04
237,CUST-0000237,F,60 ans et plus,Vendeur,Commerce,Association,Actif,2018-10-05
238,CUST-0000238,F,36-45 ans,Restauratrice,Pêche,Physique,Actif,2019-12-15
239,CUST-0000239,F,60 ans et plus,Informaticien,Technologie,Physique,En veille,2019-05-27
240,CUST-0000240,F,46-60 ans,Chauffeur,BTP,Physique,En veille,2025-12-04
241,CUST-0000241,F,46-60 ans,Fonctionnaire,Distribution,Physique,Actif,2021-10-18
242,CUST-0000242,M,60 ans et plus,Étudiant,Élevage,Moral,Actif,2017-05-09
243,CUST-0000243,F,26-35 ans,Artisan,Pêche,Physique,Actif,2025-08-07
244,CUST-0000244,M,60 ans et plus,Mécanicien,Distribution,Moral,Actif,2017-04-29
245,CUST-0000245,F,46-60 ans,Agent public,Agriculture,Physique,En veille,2018-08-29
246,CUST-0000246,F,18-25 ans,Coiffeur,Éducation,Physique,Actif,2018-05-06
247,CUST-0000247,F,26-35 ans,Médecin,Transport,Physique,Actif,2026-02-11
248,CUST-0000248,M,60 ans et plus,Agriculteur,Informel,Physique,Actif,2019-06-16
249,CUST-0000249,F,18-25 ans,Ménagère,Commerce,Physique,Actif,2020-06-02
250,CUST-0000250,F,60 ans et plus,Agriculteur,Distribution,Physique,Actif,2025-06-29
251,CUST-0000251,F,46-60 ans,Médecin,Transport,Physique,Suspendu,2020-02-15
252,CUST-0000252,M,46-60 ans,Entrepreneur,Technologie,Physique,Actif,2018-08-12
253,CUST-0000253,F,46-60 ans,Agent public,Santé,Physique,En veille,2021-09-17
254,CUST-0000254,M,46-60 ans,Commerçant,Artisanat,Physique,Actif,2021-05-12
255,CUST-0000255,F,36-45 ans,Coiffeur,Administration,Moral,Actif,2023-03-04
256,CUST-0000256,M,46-60 ans,Commerçant,Technologie,Physique,Actif,2026-02-22
257,CUST-0000257,F,46-60 ans,Restauratrice,Santé,Moral,Actif,2026-03-28
258,CUST-0000258,M,60 ans et plus,Coiffeur,Éducation,Physique,Actif,2023-01-08
259,CUST-0000259,F,60 ans et plus,Commerçant,Administration,Physique,Actif,2024-09-13
260,CUST-0000260,M,46-60 ans,Informaticien,Agriculture,Physique,Actif,2022-09-27
261,CUST-0000261,M,18-25 ans,Pêcheur,Santé,Physique,Actif,2025-09-24
262,CUST-0000262,M,46-60 ans,Vendeur,Éducation,Physique,Actif,2018-03-17
263,CUST-0000263,F,60 ans et plus,Coiffeur,Éducation,Physique,En veille,2023-04-21
264,CUST-0000264,M,18-25 ans,Chauffeur,Agriculture,Physique,Actif,2018-02-10
265,CUST-0000265,F,26-35 ans,Agent public,Technologie,Physique,En veille,2023-09-14
266,CUST-0000266,F,46-60 ans,Entrepreneur,Informel,Physique,Actif,2024-07-12
267,CUST-0000267,F,60 ans et plus,Mécanicien,Transport,Physique,Actif,2024-09-09
268,CUST-0000268,M,60 ans et plus,Informaticien,Technologie,Physique,Actif,2022-10-26
269,CUST-0000269,F,46-60 ans,Informaticien,Services,Physique,Actif,2025-03-28
270,CUST-0000270,F,18-25 ans,Éleveur,Élevage,Physique,Actif,2017-06-02
271,CUST-0000271,M,60 ans et plus,Commerçant,Pêche,Physique,Actif,2025-03-16
272,CUST-0000272,M,18-25 ans,Entrepreneur,Éducation,Physique,Actif,2023-03-17
273,CUST-0000273,M,46-60 ans,Infirmier,Technologie,Moral,Actif,2017-07-06
274,CUST-0000274,F,26-35 ans,Agriculteur,Technologie,Physique,Actif,2026-04-15
275,CUST-0000275,M,46-60 ans,Ménagère,Commerce,Physique,Actif,2019-08-13
276,CUST-0000276,F,26-35 ans,Agent public,Éducation,Physique,Actif,2017-05-19
277,CUST-0000277,M,18-25 ans,Fonctionnaire,Restauration,Physique,Actif,2020-08-26
278,CUST-0000278,M,36-45 ans,Enseignant,Commerce,Physique,Actif,2018-12-19
279,CUST-0000279,M,60 ans et plus,Restauratrice,Administration,Physique,Actif,2019-03-03
280,CUST-0000280,M,60 ans et plus,Médecin,Distribution,Physique,Actif,2022-01-13
281,CUST-0000281,M,36-45 ans,Commerçant,Élevage,Physique,Actif,2024-10-13
282,CUST-0000282,M,46-60 ans,Fonctionnaire,Technologie,Physique,Actif,2018-05-31
283,CUST-0000283,F,36-45 ans,Tailleur,Restauration,Physique,Actif,2020-12-29
284,CUST-0000284,M,46-60 ans,Étudiant,BTP,Moral,Actif,2025-11-20
285,CUST-0000285,M,46-60 ans,Étudiant,Pêche,Physique,Actif,2018-08-21
286,CUST-0000286,M,60 ans et plus,Étudiant,Administration,Physique,Actif,2020-10-21
287,CUST-0000287,F,26-35 ans,Fonctionnaire,Commerce,Association,Actif,2021-11-01
288,CUST-0000288,M,18-25 ans,Étudiant,Services,Physique,En veille,2021-12-10
289,CUST-0000289,F,46-60 ans,Entrepreneur,Services,Physique,En veille,2018-12-01
290,CUST-0000290,M,60 ans et plus,Étudiant,Commerce,Physique,Actif,2018-10-25
291,CUST-0000291,F,46-60 ans,Médecin,Élevage,Physique,Actif,2021-04-06
292,CUST-0000292,F,18-25 ans,Entrepreneur,Pêche,Physique,Actif,2018-05-10
293,CUST-0000293,M,36-45 ans,Informaticien,Commerce,Physique,Actif,2017-10-11
294,CUST-0000294,F,46-60 ans,Informaticien,Restauration,Physique,En veille,2022-09-15
295,CUST-0000295,F,46-60 ans,Fonctionnaire,Santé,Physique,Actif,2024-05-14
296,CUST-0000296,F,18-25 ans,Artisan,Commerce,Physique,Actif,2020-06-25
297,CUST-0000297,F,46-60 ans,Étudiant,Distribution,Physique,Actif,2024-09-08
298,CUST-0000298,M,60 ans et plus,Fonctionnaire,Informel,Physique,En veille,2023-11-10
299,CUST-0000299,F,46-60 ans,Informaticien,Commerce,Moral,Actif,2017-10-03
300,CUST-0000300,F,36-45 ans,Coiffeur,Distribution,Physique,Actif,2020-08-29
301,CUST-0000301,M,26-35 ans,Ménagère,Commerce,Physique,Actif,2018-02-13
302,CUST-0000302,F,46-60 ans,Chauffeur,Pêche,Physique,Actif,2017-02-12
303,CUST-0000303,M,36-45 ans,Agent public,Informel,Physique,Actif,2025-10-08
304,CUST-0000304,M,60 ans et plus,Infirmier,Restauration,Physique,Actif,2019-06-22
305,CUST-0000305,M,60 ans et plus,Ménagère,Technologie,Physique,Actif,2022-05-11
